Zodiac,omission,consecutive,density,longterm_density,calibrated_rate,bayes_open_prob,logistic_veto_prob,zodiac_analyzer_score,f2_combo_veto,f5_recovery_triggered,f5_recovery_rate
马,0.0000,1.0000,2.0000,27.0000,0.4750,0.4212,0.5739,18.5000,0.0000,0.0000,0.0000
蛇,0.0000,1.0000,3.0000,23.0000,0.4417,0.4675,0.5316,15.5000,1.0000,0.0000,0.0000
龙,2.0000,0.0000,2.0000,17.0000,0.3667,0.4616,0.5226,22.5000,1.0000,0.0000,0.0000
兔,0.0000,2.0000,3.0000,31.0000,0.6333,0.4916,0.5320,6.0000,0.0000,0.0000,0.0000
虎,0.0000,4.0000,4.0000,18.0000,0.7000,0.7047,0.3805,1.5000,1.0000,0.0000,0.0000
牛,1.0000,0.0000,2.0000,28.0000,0.4083,0.4376,0.5503,-2.5000,0.0000,1.0000,0.6471
鼠,0.0000,2.0000,4.0000,24.0000,0.5750,0.6351,0.4168,2.0000,0.0000,0.0000,0.0000
猪,0.0000,2.0000,3.0000,27.0000,0.6583,0.4916,0.5320,4.0000,0.0000,0.0000,0.0000
狗,6.0000,0.0000,0.0000,23.0000,0.2333,0.4766,0.5045,0.5000,0.0000,0.0000,0.0000
鸡,2.0000,0.0000,3.0000,28.0000,0.5333,0.4842,0.5077,3.5000,1.0000,0.0000,0.0000
猴,0.0000,1.0000,2.0000,28.0000,0.5083,0.4212,0.5739,0.0000,0.0000,0.0000,0.0000
羊,1.0000,0.0000,2.0000,17.0000,0.3833,0.4616,0.5226,-14.0000,1.0000,1.0000,0.2143
